vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 5.59453 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,9981,160.039,168.188,vmcache,4,30,tpcc,64
1,18854,118.16,134.75,vmcache,4,30,tpcc,64
2,20541,100.094,117.941,vmcache,4,30,tpcc,64
3,22329,94.293,114.742,vmcache,4,30,tpcc,64
4,21032,77.1719,93.7695,vmcache,4,30,tpcc,64
5,12963,44.2188,55.4375,vmcache,4,30,tpcc,64
6,14489,47.3359,61.4961,vmcache,4,30,tpcc,64
7,13010,43.5586,54.9102,vmcache,4,30,tpcc,64
8,22364,69.918,91.2227,vmcache,4,30,tpcc,64
9,27699,79.2695,102.5,vmcache,4,30,tpcc,64
10,27454,73.6523,98.3477,vmcache,4,30,tpcc,64
11,26253,70.3203,93.7031,vmcache,4,30,tpcc,64
12,26622,68.6211,93.2773,vmcache,4,30,tpcc,64
13,24323,63.8398,85.4531,vmcache,4,30,tpcc,64
14,24077,60.125,81.7148,vmcache,4,30,tpcc,64
15,25536,60.1133,82.0039,vmcache,4,30,tpcc,64
16,25854,60.4414,84.1953,vmcache,4,30,tpcc,64
17,26335,58.7969,82.1836,vmcache,4,30,tpcc,64
18,20073,42.5,60.1016,vmcache,4,30,tpcc,64
19,16498,36.1875,50.1953,vmcache,4,30,tpcc,64
20,16746,38.4883,52.5391,vmcache,4,30,tpcc,64
21,20128,46.293,64.3906,vmcache,4,30,tpcc,64
22,30886,69.5391,95.5273,vmcache,4,30,tpcc,64
23,29078,67.5469,92.3711,vmcache,4,30,tpcc,64
24,30707,65.3086,90.0312,vmcache,4,30,tpcc,64
25,29107,62.9453,87.6758,vmcache,4,30,tpcc,64
26,26676,57.8828,71.8633,vmcache,4,30,tpcc,64
27,26438,57.1211,75.7266,vmcache,4,30,tpcc,64
28,26692,55.9922,80.5273,vmcache,4,30,tpcc,64
29,29362,52.0312,77.5117,vmcache,4,30,tpcc,64
space: 6.19566 GB 
