vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 11.0145 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,156,20.2539,20.7148,vmcache,4,60,tpcc,64
1,205,20.2109,20.4922,vmcache,4,60,tpcc,64
2,305,26.9883,27.0547,vmcache,4,60,tpcc,64
3,277,18.5156,18.9141,vmcache,4,60,tpcc,64
4,354,21.3867,21.2461,vmcache,4,60,tpcc,64
5,239,16.3945,15.6641,vmcache,4,60,tpcc,64
6,438,23.1641,23.7305,vmcache,4,60,tpcc,64
7,403,15.6719,16.2695,vmcache,4,60,tpcc,64
8,570,19.2344,20.0664,vmcache,4,60,tpcc,64
9,387,17.3281,17.6055,vmcache,4,60,tpcc,64
10,540,20.6797,21.1211,vmcache,4,60,tpcc,64
11,512,19.5703,18.6797,vmcache,4,60,tpcc,64
12,922,28.6055,30.1992,vmcache,4,60,tpcc,64
13,722,18.3984,19.1055,vmcache,4,60,tpcc,64
14,948,25.1797,25.3594,vmcache,4,60,tpcc,64
15,1010,24.6875,25.6133,vmcache,4,60,tpcc,64
16,824,21.4336,21.6133,vmcache,4,60,tpcc,64
17,1098,26.2266,26.1094,vmcache,4,60,tpcc,64
18,811,20.6953,10.5195,vmcache,4,60,tpcc,64
19,1026,23.3516,24.0547,vmcache,4,60,tpcc,64
20,1191,26.2852,27.793,vmcache,4,60,tpcc,64
21,1385,24.4219,24.6797,vmcache,4,60,tpcc,64
22,1444,27.1914,28.4961,vmcache,4,60,tpcc,64
23,1226,21.7695,22.707,vmcache,4,60,tpcc,64
24,1386,20.7578,23.1094,vmcache,4,60,tpcc,64
25,1408,21.9531,22.6094,vmcache,4,60,tpcc,64
26,1438,21.7539,23.0391,vmcache,4,60,tpcc,64
27,1509,22.9531,23.1719,vmcache,4,60,tpcc,64
28,1359,21.3672,22.75,vmcache,4,60,tpcc,64
29,1479,19.4648,20.3203,vmcache,4,60,tpcc,64
space: 11.0334 GB 
