vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 1.98079 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,50040,0,0,vmcache,4,10,tpcc,64
1,52974,0,0,vmcache,4,10,tpcc,64
2,51105,0,0,vmcache,4,10,tpcc,64
3,53924,0,0,vmcache,4,10,tpcc,64
4,50665,0,0,vmcache,4,10,tpcc,64
5,50157,0,0,vmcache,4,10,tpcc,64
6,53351,0,0,vmcache,4,10,tpcc,64
7,47120,0,0,vmcache,4,10,tpcc,64
8,28506,0,0,vmcache,4,10,tpcc,64
9,28891,0,0,vmcache,4,10,tpcc,64
10,32975,0,0,vmcache,4,10,tpcc,64
11,49011,0,0,vmcache,4,10,tpcc,64
12,52814,0,0,vmcache,4,10,tpcc,64
13,52682,0,0,vmcache,4,10,tpcc,64
14,53704,0,0,vmcache,4,10,tpcc,64
15,48325,0,0,vmcache,4,10,tpcc,64
16,52105,0,0,vmcache,4,10,tpcc,64
17,53114,0,0,vmcache,4,10,tpcc,64
18,52459,0,0,vmcache,4,10,tpcc,64
19,52588,0,0,vmcache,4,10,tpcc,64
20,51572,0,0,vmcache,4,10,tpcc,64
21,28995,0,0,vmcache,4,10,tpcc,64
22,23821,0,0,vmcache,4,10,tpcc,64
23,31845,0,0,vmcache,4,10,tpcc,64
24,42004,0,0,vmcache,4,10,tpcc,64
25,51366,0,0,vmcache,4,10,tpcc,64
26,53602,0,0,vmcache,4,10,tpcc,64
27,49898,0,0,vmcache,4,10,tpcc,64
28,53972,0,0,vmcache,4,10,tpcc,64
29,50673,0,0,vmcache,4,10,tpcc,64
space: 3.24464 GB 
