vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 11.9185 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,200,23.7969,24.8164,vmcache,4,65,tpcc,64
1,290,27.5117,27.0195,vmcache,4,65,tpcc,64
2,289,26.5312,27.3008,vmcache,4,65,tpcc,64
3,378,24.8359,25.0312,vmcache,4,65,tpcc,64
4,509,32.0352,31.9648,vmcache,4,65,tpcc,64
5,525,29.0664,28.6094,vmcache,4,65,tpcc,64
6,760,30.5391,31.9883,vmcache,4,65,tpcc,64
7,528,27.332,27.6406,vmcache,4,65,tpcc,64
8,725,25.4961,24.7305,vmcache,4,65,tpcc,64
9,779,30.1133,31.3398,vmcache,4,65,tpcc,64
10,697,23.1914,23.8125,vmcache,4,65,tpcc,64
11,750,24.0234,24.6719,vmcache,4,65,tpcc,64
12,835,23.3438,23.9531,vmcache,4,65,tpcc,64
13,899,29.9727,31.125,vmcache,4,65,tpcc,64
14,1132,26.0859,26.9141,vmcache,4,65,tpcc,64
15,925,24.3281,25.5078,vmcache,4,65,tpcc,64
16,1020,26.0469,26.6562,vmcache,4,65,tpcc,64
17,1246,25.9844,27.207,vmcache,4,65,tpcc,64
18,1196,22.9297,23.4453,vmcache,4,65,tpcc,64
19,1265,23.2188,23.8438,vmcache,4,65,tpcc,64
20,1194,23.2109,23.9258,vmcache,4,65,tpcc,64
21,1367,24.707,25.5508,vmcache,4,65,tpcc,64
22,1619,26.6602,28.1211,vmcache,4,65,tpcc,64
23,1512,25.2305,26.8086,vmcache,4,65,tpcc,64
24,1208,19.5078,21.7461,vmcache,4,65,tpcc,64
25,1674,24.1875,24.8203,vmcache,4,65,tpcc,64
26,1499,23.5195,24.4258,vmcache,4,65,tpcc,64
27,1709,23.4766,24.3867,vmcache,4,65,tpcc,64
28,1670,23.6602,24.6797,vmcache,4,65,tpcc,64
29,1555,21.2227,22.5742,vmcache,4,65,tpcc,64
space: 11.9407 GB 
