vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 1.07705 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,54053,0,0,vmcache,4,5,tpcc,64
1,55231,0,0,vmcache,4,5,tpcc,64
2,46878,0,0,vmcache,4,5,tpcc,64
3,28617,0,0,vmcache,4,5,tpcc,64
4,23673,0,0,vmcache,4,5,tpcc,64
5,32462,0,0,vmcache,4,5,tpcc,64
6,56950,0,0,vmcache,4,5,tpcc,64
7,53255,0,0,vmcache,4,5,tpcc,64
8,53414,0,0,vmcache,4,5,tpcc,64
9,55635,0,0,vmcache,4,5,tpcc,64
10,52553,0,0,vmcache,4,5,tpcc,64
11,56356,0,0,vmcache,4,5,tpcc,64
12,56071,0,0,vmcache,4,5,tpcc,64
13,55891,0,0,vmcache,4,5,tpcc,64
14,56837,0,0,vmcache,4,5,tpcc,64
15,51725,0,0,vmcache,4,5,tpcc,64
16,31745,0,0,vmcache,4,5,tpcc,64
17,29513,0,0,vmcache,4,5,tpcc,64
18,34365,0,0,vmcache,4,5,tpcc,64
19,52743,0,0,vmcache,4,5,tpcc,64
20,57021,0,0,vmcache,4,5,tpcc,64
21,54964,0,0,vmcache,4,5,tpcc,64
22,53576,0,0,vmcache,4,5,tpcc,64
23,55252,0,0,vmcache,4,5,tpcc,64
24,47241,0,0,vmcache,4,5,tpcc,64
25,44095,0,0,vmcache,4,5,tpcc,64
26,47223,0,0,vmcache,4,5,tpcc,64
27,54475,0,0,vmcache,4,5,tpcc,64
28,48132,0,0,vmcache,4,5,tpcc,64
29,27111,0,0,vmcache,4,5,tpcc,64
space: 2.38846 GB 
