vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 9.20866 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,358,30.5898,30.75,vmcache,4,50,tpcc,64
1,422,33.0586,34.1562,vmcache,4,50,tpcc,64
2,810,43.4727,43.0703,vmcache,4,50,tpcc,64
3,1421,52.875,53.2617,vmcache,4,50,tpcc,64
4,1284,40.6133,42.3516,vmcache,4,50,tpcc,64
5,1889,50.5156,51.3008,vmcache,4,50,tpcc,64
6,2246,47.832,50.7656,vmcache,4,50,tpcc,64
7,2138,39.9609,42.3828,vmcache,4,50,tpcc,64
8,3359,50.6992,52.8711,vmcache,4,50,tpcc,64
9,3260,45.4531,48.6445,vmcache,4,50,tpcc,64
10,3376,42.5352,45.3867,vmcache,4,50,tpcc,64
11,3354,40.8203,42.1367,vmcache,4,50,tpcc,64
12,3692,39.7695,43.0391,vmcache,4,50,tpcc,64
13,3463,36.5703,38.7773,vmcache,4,50,tpcc,64
14,3687,36.9727,41.1328,vmcache,4,50,tpcc,64
15,3717,37.5586,40.125,vmcache,4,50,tpcc,64
16,3817,35.7891,39.4531,vmcache,4,50,tpcc,64
17,3559,33,35.875,vmcache,4,50,tpcc,64
18,3381,31.3281,35.1641,vmcache,4,50,tpcc,64
19,3587,32.6367,34.7539,vmcache,4,50,tpcc,64
20,3278,29.5039,32.2812,vmcache,4,50,tpcc,64
21,4409,37.6133,40.7969,vmcache,4,50,tpcc,64
22,3513,30.1406,32.4688,vmcache,4,50,tpcc,64
23,3769,31.7109,34.8438,vmcache,4,50,tpcc,64
24,3703,31.582,35.5352,vmcache,4,50,tpcc,64
25,3681,30.6719,34.4727,vmcache,4,50,tpcc,64
26,3790,30.9414,32.9961,vmcache,4,50,tpcc,64
27,3801,30.4297,34.7422,vmcache,4,50,tpcc,64
28,3754,29.2188,32.2578,vmcache,4,50,tpcc,64
29,3912,28.9102,31.4922,vmcache,4,50,tpcc,64
space: 9.28288 GB 
