vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 8.30458 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,876,61.9141,62.8281,vmcache,4,45,tpcc,64
1,1125,50.2031,50.7969,vmcache,4,45,tpcc,64
2,1779,55.4883,56.332,vmcache,4,45,tpcc,64
3,1694,43.6562,45,vmcache,4,45,tpcc,64
4,1575,35.3281,36.8477,vmcache,4,45,tpcc,64
5,2225,40.5234,42.6875,vmcache,4,45,tpcc,64
6,2683,41.8242,44.9219,vmcache,4,45,tpcc,64
7,3217,40.9141,42.7734,vmcache,4,45,tpcc,64
8,3917,45.1328,49.1055,vmcache,4,45,tpcc,64
9,4282,46.707,48.6562,vmcache,4,45,tpcc,64
10,4600,47.125,51.1133,vmcache,4,45,tpcc,64
11,4458,41.7539,45.3398,vmcache,4,45,tpcc,64
12,5213,47.5781,51.7617,vmcache,4,45,tpcc,64
13,5301,45.7461,50.8125,vmcache,4,45,tpcc,64
14,5294,44.668,49.3594,vmcache,4,45,tpcc,64
15,5333,43.5156,48.0273,vmcache,4,45,tpcc,64
16,5107,40.3945,44.6016,vmcache,4,45,tpcc,64
17,4687,36.1523,39.8047,vmcache,4,45,tpcc,64
18,5395,41.1719,47.3789,vmcache,4,45,tpcc,64
19,5419,40.207,44.9648,vmcache,4,45,tpcc,64
20,5557,39.2188,43.8125,vmcache,4,45,tpcc,64
21,5814,40.957,45.7969,vmcache,4,45,tpcc,64
22,5632,38.6211,43.2109,vmcache,4,45,tpcc,64
23,5190,34.7227,38.8359,vmcache,4,45,tpcc,64
24,6165,39.6562,45.6719,vmcache,4,45,tpcc,64
25,6124,38.6914,44.2227,vmcache,4,45,tpcc,64
26,6122,37.2891,43.4336,vmcache,4,45,tpcc,64
27,6181,35.5547,39.957,vmcache,4,45,tpcc,64
28,6260,37.1289,42.1016,vmcache,4,45,tpcc,64
29,5516,32.8242,37.5234,vmcache,4,45,tpcc,64
space: 8.41473 GB 
