vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 4.69057 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,4774,66.3633,69.6562,vmcache,4,25,tpcc,64
1,15966,68.5391,83.2422,vmcache,4,25,tpcc,64
2,25017,75.8477,96.7266,vmcache,4,25,tpcc,64
3,28516,72.8242,97.9141,vmcache,4,25,tpcc,64
4,32552,67.3125,96.8555,vmcache,4,25,tpcc,64
5,24046,45.9922,68,vmcache,4,25,tpcc,64
6,21820,39.0586,58,vmcache,4,25,tpcc,64
7,21413,37.4141,55.9414,vmcache,4,25,tpcc,64
8,20218,35.3789,54.2422,vmcache,4,25,tpcc,64
9,30126,50.1211,77.3008,vmcache,4,25,tpcc,64
10,31610,52.2422,80.7305,vmcache,4,25,tpcc,64
11,31556,51.1133,79.875,vmcache,4,25,tpcc,64
12,32894,51.8477,80.75,vmcache,4,25,tpcc,64
13,33879,52.5664,82.8281,vmcache,4,25,tpcc,64
14,32204,46.5977,74.9414,vmcache,4,25,tpcc,64
15,30705,47.6172,75.9922,vmcache,4,25,tpcc,64
16,31700,48.6367,76.4492,vmcache,4,25,tpcc,64
17,27869,42.0391,66.8711,vmcache,4,25,tpcc,64
18,27978,41.5391,65.4727,vmcache,4,25,tpcc,64
19,19944,30.2891,47.9531,vmcache,4,25,tpcc,64
20,19859,27.1836,44.5859,vmcache,4,25,tpcc,64
21,21144,22.1484,41.1406,vmcache,4,25,tpcc,64
22,34342,27.957,60.4883,vmcache,4,25,tpcc,64
23,36646,25.875,57.1758,vmcache,4,25,tpcc,64
24,31734,21.3125,49.3594,vmcache,4,25,tpcc,64
25,38471,26.6875,62.6445,vmcache,4,25,tpcc,64
26,40200,27.1719,62.2031,vmcache,4,25,tpcc,64
27,39172,27.5273,62.6562,vmcache,4,25,tpcc,64
28,36928,29.5586,62.7852,vmcache,4,25,tpcc,64
29,37615,28.0781,60.5938,vmcache,4,25,tpcc,64
space: 5.44044 GB 
