vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 3.05176e-05 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,4310260,0,0,vmcache,4,65,rndread,64
1,4839291,0,0,vmcache,4,65,rndread,64
2,5729471,0,0,vmcache,4,65,rndread,64
3,7516323,0,0,vmcache,4,65,rndread,64
4,7071233,0,0,vmcache,4,65,rndread,64
5,6157549,0,0,vmcache,4,65,rndread,64
6,6554691,0,0,vmcache,4,65,rndread,64
7,6831207,0,0,vmcache,4,65,rndread,64
8,7354578,0,0,vmcache,4,65,rndread,64
9,7492235,0,0,vmcache,4,65,rndread,64
10,7205448,0,0,vmcache,4,65,rndread,64
11,7312933,0,0,vmcache,4,65,rndread,64
12,6352079,0,0,vmcache,4,65,rndread,64
13,4405078,0,0,vmcache,4,65,rndread,64
14,4423015,0,0,vmcache,4,65,rndread,64
15,4666017,0,0,vmcache,4,65,rndread,64
16,5607179,0,0,vmcache,4,65,rndread,64
17,7262853,0,0,vmcache,4,65,rndread,64
18,6674532,0,0,vmcache,4,65,rndread,64
19,6960609,0,0,vmcache,4,65,rndread,64
20,7186094,0,0,vmcache,4,65,rndread,64
21,6934744,0,0,vmcache,4,65,rndread,64
22,7507423,0,0,vmcache,4,65,rndread,64
23,7221519,0,0,vmcache,4,65,rndread,64
24,7418616,0,0,vmcache,4,65,rndread,64
25,7478821,0,0,vmcache,4,65,rndread,64
26,6847863,0,0,vmcache,4,65,rndread,64
27,4513842,0,0,vmcache,4,65,rndread,64
28,4130491,0,0,vmcache,4,65,rndread,64
29,4909863,0,0,vmcache,4,65,rndread,64
