vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 13.7267 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,110,11.8008,12,vmcache,4,75,tpcc,64
1,81,10.3594,10.8789,vmcache,4,75,tpcc,64
2,103,10.9531,10.5273,vmcache,4,75,tpcc,64
3,97,8.49609,9.23047,vmcache,4,75,tpcc,64
4,44,5.30078,4.55469,vmcache,4,75,tpcc,64
5,146,14.168,14.1406,vmcache,4,75,tpcc,64
6,167,12.375,12.4297,vmcache,4,75,tpcc,64
7,105,11.0391,11.6094,vmcache,4,75,tpcc,64
8,144,15.4375,15.1797,vmcache,4,75,tpcc,64
9,268,16.1367,16.1016,vmcache,4,75,tpcc,64
10,112,6.86719,7.15234,vmcache,4,75,tpcc,64
11,23,2.59375,2.23828,vmcache,4,75,tpcc,64
12,126,9.55859,10.2422,vmcache,4,75,tpcc,64
13,234,18.0625,17.5312,vmcache,4,75,tpcc,64
14,246,13.6172,13.6445,vmcache,4,75,tpcc,64
15,215,10.5859,11.4727,vmcache,4,75,tpcc,64
16,230,13.0117,12.8633,vmcache,4,75,tpcc,64
17,210,11.1953,11.4453,vmcache,4,75,tpcc,64
18,336,14.0273,13.5977,vmcache,4,75,tpcc,64
19,246,12.6172,12.8555,vmcache,4,75,tpcc,64
20,336,16.0117,15.9375,vmcache,4,75,tpcc,64
21,341,13.4414,14.3398,vmcache,4,75,tpcc,64
22,354,13.4961,13.332,vmcache,4,75,tpcc,64
23,108,4.08594,4.70312,vmcache,4,75,tpcc,64
24,28,2.65234,2.3125,vmcache,4,75,tpcc,64
25,295,13.0625,12.875,vmcache,4,75,tpcc,64
26,378,15.1328,16.3555,vmcache,4,75,tpcc,64
27,391,12.2227,12.0352,vmcache,4,75,tpcc,64
28,350,12.1406,12.6992,vmcache,4,75,tpcc,64
29,465,17.9258,18.4531,vmcache,4,75,tpcc,64
space: 13.7299 GB 
