vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 10.1119 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,110,10.1328,10.1406,vmcache,4,55,tpcc,64
1,102,9.32422,10.0391,vmcache,4,55,tpcc,64
2,59,7.21094,6.70312,vmcache,4,55,tpcc,64
3,138,10.4961,10.3672,vmcache,4,55,tpcc,64
4,80,8.30859,8.70312,vmcache,4,55,tpcc,64
5,40,4.50391,4.23438,vmcache,4,55,tpcc,64
6,138,7.58594,7.88672,vmcache,4,55,tpcc,64
7,25,4.10156,4.17188,vmcache,4,55,tpcc,64
8,54,4.28906,4.71094,vmcache,4,55,tpcc,64
9,141,6.81641,6.99219,vmcache,4,55,tpcc,64
10,132,6.77734,5.80859,vmcache,4,55,tpcc,64
11,94,6.46875,6.96875,vmcache,4,55,tpcc,64
12,63,5.32422,5.52344,vmcache,4,55,tpcc,64
13,115,6.10156,5.82422,vmcache,4,55,tpcc,64
14,158,7.28516,6.96094,vmcache,4,55,tpcc,64
15,83,5.44141,6.42969,vmcache,4,55,tpcc,64
16,97,6.51562,5.75781,vmcache,4,55,tpcc,64
17,50,2.16406,2.30859,vmcache,4,55,tpcc,64
18,70,3.30469,3.49219,vmcache,4,55,tpcc,64
19,155,5.14844,5.71484,vmcache,4,55,tpcc,64
20,114,3.96484,3.51562,vmcache,4,55,tpcc,64
21,113,7.19141,7.22656,vmcache,4,55,tpcc,64
22,152,5.46094,5.84375,vmcache,4,55,tpcc,64
23,163,5.19141,4.70703,vmcache,4,55,tpcc,64
24,742,30.6211,31.2656,vmcache,4,55,tpcc,64
25,980,37.7578,38.3477,vmcache,4,55,tpcc,64
26,1210,35.1133,36.0156,vmcache,4,55,tpcc,64
27,1234,34.4531,36.3906,vmcache,4,55,tpcc,64
28,1227,31.293,32.2422,vmcache,4,55,tpcc,64
29,1453,32.8828,33.293,vmcache,4,55,tpcc,64
space: 10.118 GB 
