vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 6.49875 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,4635,137.172,141.141,vmcache,4,35,tpcc,64
1,2688,40.7461,41.7969,vmcache,4,35,tpcc,64
2,0,0,0,vmcache,4,35,tpcc,64
3,145,2.33203,2.96094,vmcache,4,35,tpcc,64
4,10389,101.625,110.641,vmcache,4,35,tpcc,64
5,13714,100.969,111.953,vmcache,4,35,tpcc,64
6,13377,85.1719,97.5,vmcache,4,35,tpcc,64
7,15596,92.1328,105.613,vmcache,4,35,tpcc,64
8,16342,88.6211,102.148,vmcache,4,35,tpcc,64
9,14168,68.4414,80.6328,vmcache,4,35,tpcc,64
10,11889,56.2227,67.0156,vmcache,4,35,tpcc,64
11,12347,56.0391,67.0703,vmcache,4,35,tpcc,64
12,11653,50.6602,60.7383,vmcache,4,35,tpcc,64
13,16045,66.625,81.3672,vmcache,4,35,tpcc,64
14,16951,69.7734,85.1133,vmcache,4,35,tpcc,64
15,18053,67.9336,84.4062,vmcache,4,35,tpcc,64
16,18126,69.5625,85.9102,vmcache,4,35,tpcc,64
17,19940,70.4805,87.7461,vmcache,4,35,tpcc,64
18,19592,67.1875,85.125,vmcache,4,35,tpcc,64
19,20178,67.2812,84.582,vmcache,4,35,tpcc,64
20,20347,67.4922,86.875,vmcache,4,35,tpcc,64
21,20355,66.6406,83.7734,vmcache,4,35,tpcc,64
22,20038,64.5859,83.0195,vmcache,4,35,tpcc,64
23,16492,49.5078,65.0273,vmcache,4,35,tpcc,64
24,13537,39.7539,50.2305,vmcache,4,35,tpcc,64
25,14989,44.6992,56.4531,vmcache,4,35,tpcc,64
26,14464,42.7891,54.0273,vmcache,4,35,tpcc,64
27,21591,62.1797,79.8711,vmcache,4,35,tpcc,64
28,22067,63.1328,81.2305,vmcache,4,35,tpcc,64
29,22122,63.6211,81.2773,vmcache,4,35,tpcc,64
space: 6.88144 GB 
