vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 11.9184 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,76,7.85156,8.93359,vmcache,4,65,tpcc,64
1,45,5.54297,5.42969,vmcache,4,65,tpcc,64
2,237,24.6875,24.0391,vmcache,4,65,tpcc,64
3,238,22.8438,23.5,vmcache,4,65,tpcc,64
4,273,21.7031,21.5703,vmcache,4,65,tpcc,64
5,287,19.668,19.6836,vmcache,4,65,tpcc,64
6,376,23.7344,23.6328,vmcache,4,65,tpcc,64
7,351,19.4688,19.3711,vmcache,4,65,tpcc,64
8,67,3.44531,3.39844,vmcache,4,65,tpcc,64
9,441,20.0508,21.0664,vmcache,4,65,tpcc,64
10,537,22.2188,22.2734,vmcache,4,65,tpcc,64
11,352,19.7852,19.6016,vmcache,4,65,tpcc,64
12,393,17.207,17.5039,vmcache,4,65,tpcc,64
13,661,22.7695,23.5586,vmcache,4,65,tpcc,64
14,457,19.25,19.1992,vmcache,4,65,tpcc,64
15,184,4.17188,4.66016,vmcache,4,65,tpcc,64
16,114,3.21875,3.44922,vmcache,4,65,tpcc,64
17,523,19.8594,20.125,vmcache,4,65,tpcc,64
18,668,18.2578,18.5508,vmcache,4,65,tpcc,64
19,643,19.5039,20.4297,vmcache,4,65,tpcc,64
20,665,19.7891,20.4805,vmcache,4,65,tpcc,64
21,684,20.8008,20.8398,vmcache,4,65,tpcc,64
22,667,18.3359,19.25,vmcache,4,65,tpcc,64
23,373,6.76172,7.01953,vmcache,4,65,tpcc,64
24,261,7.98828,8.17969,vmcache,4,65,tpcc,64
25,722,18.7969,19.3008,vmcache,4,65,tpcc,64
26,766,18.3867,19.0234,vmcache,4,65,tpcc,64
27,929,20.9141,21.8398,vmcache,4,65,tpcc,64
28,959,18.0664,18.7305,vmcache,4,65,tpcc,64
29,887,16.5039,17.4258,vmcache,4,65,tpcc,64
space: 11.9279 GB 
