vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 9.20858 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,106,8.23828,9.05469,vmcache,4,50,tpcc,64
1,69,5.14844,4.76953,vmcache,4,50,tpcc,64
2,64,4.85156,5.09766,vmcache,4,50,tpcc,64
3,28,4.10547,3.63281,vmcache,4,50,tpcc,64
4,83,8.16797,9.14844,vmcache,4,50,tpcc,64
5,94,7.69141,7.41797,vmcache,4,50,tpcc,64
6,125,9.76172,8.86719,vmcache,4,50,tpcc,64
7,23,3.66406,3.63281,vmcache,4,50,tpcc,64
8,71,3.01172,3.71875,vmcache,4,50,tpcc,64
9,85,5.89062,6.22266,vmcache,4,50,tpcc,64
10,126,7.65625,7.78125,vmcache,4,50,tpcc,64
11,189,10.1562,10.0234,vmcache,4,50,tpcc,64
12,123,8.875,8.9375,vmcache,4,50,tpcc,64
13,200,9.22656,8.79297,vmcache,4,50,tpcc,64
14,55,4.66406,4.97266,vmcache,4,50,tpcc,64
15,206,8.73047,8.23047,vmcache,4,50,tpcc,64
16,171,9.07422,10.0195,vmcache,4,50,tpcc,64
17,134,6.89453,6.79688,vmcache,4,50,tpcc,64
18,218,7.23828,7.27344,vmcache,4,50,tpcc,64
19,250,6.16406,6.21484,vmcache,4,50,tpcc,64
20,172,7.40625,7.10938,vmcache,4,50,tpcc,64
21,323,12.2461,13.2383,vmcache,4,50,tpcc,64
22,2078,65.1836,66.3086,vmcache,4,50,tpcc,64
23,2510,59.7656,62.1914,vmcache,4,50,tpcc,64
24,534,9.75781,10.4844,vmcache,4,50,tpcc,64
25,278,5.40625,4.57031,vmcache,4,50,tpcc,64
26,138,2.42188,3.19141,vmcache,4,50,tpcc,64
27,2041,40.6055,42.0547,vmcache,4,50,tpcc,64
28,679,11.5312,12.1602,vmcache,4,50,tpcc,64
29,2445,37.6758,39.3789,vmcache,4,50,tpcc,64
space: 9.2184 GB 
