vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 3.78729 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,23727,0.226562,7.80078,vmcache,4,20,tpcc,64
1,15271,0.855469,13.2773,vmcache,4,20,tpcc,64
2,13452,1.20312,13.125,vmcache,4,20,tpcc,64
3,13157,1.43359,12.7695,vmcache,4,20,tpcc,64
4,12331,1.59375,13.6719,vmcache,4,20,tpcc,64
5,14146,2.07031,14.6094,vmcache,4,20,tpcc,64
6,21747,3.78516,23.6172,vmcache,4,20,tpcc,64
7,22312,4.25781,23.4023,vmcache,4,20,tpcc,64
8,19620,4.48828,23.1289,vmcache,4,20,tpcc,64
9,25389,5.85547,27.9141,vmcache,4,20,tpcc,64
10,24836,6.32031,28.125,vmcache,4,20,tpcc,64
11,24365,6.93359,28.9219,vmcache,4,20,tpcc,64
12,25773,7.90625,31.4375,vmcache,4,20,tpcc,64
13,25067,8.47656,31.5234,vmcache,4,20,tpcc,64
14,26099,9.11719,32.2539,vmcache,4,20,tpcc,64
15,26473,9.74609,32.9883,vmcache,4,20,tpcc,64
16,17117,6.20312,21.2188,vmcache,4,20,tpcc,64
17,11369,4.51172,14.5039,vmcache,4,20,tpcc,64
18,11826,4.57812,15.6055,vmcache,4,20,tpcc,64
19,13272,5.31641,16.9258,vmcache,4,20,tpcc,64
20,12618,5.34375,17.25,vmcache,4,20,tpcc,64
21,13534,6.00781,17.2031,vmcache,4,20,tpcc,64
22,14434,6.26953,19.418,vmcache,4,20,tpcc,64
23,15414,6.71094,21.2227,vmcache,4,20,tpcc,64
24,25209,9.89844,31.9609,vmcache,4,20,tpcc,64
25,22321,6.63281,26.0938,vmcache,4,20,tpcc,64
26,24603,6.99219,29.2812,vmcache,4,20,tpcc,64
27,27634,7.625,31.918,vmcache,4,20,tpcc,64
28,26273,7.62891,30.9258,vmcache,4,20,tpcc,64
29,25447,7.22656,29.7305,vmcache,4,20,tpcc,64
space: 4.30424 GB 
