vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 3.7866 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,18064,0.0234375,2.00781,vmcache,4,20,tpcc,64
1,18705,0.8125,16.7812,vmcache,4,20,tpcc,64
2,19561,1.90625,18.6719,vmcache,4,20,tpcc,64
3,23686,3.26562,25.7305,vmcache,4,20,tpcc,64
4,31730,4.63672,33.2852,vmcache,4,20,tpcc,64
5,31207,6.21875,32.6406,vmcache,4,20,tpcc,64
6,29149,6.76562,33.3516,vmcache,4,20,tpcc,64
7,26010,6.88281,30.0039,vmcache,4,20,tpcc,64
8,30516,8.36328,36.2266,vmcache,4,20,tpcc,64
9,29057,8.95703,35.3008,vmcache,4,20,tpcc,64
10,27980,10.7461,34.543,vmcache,4,20,tpcc,64
11,24275,9.64453,32.918,vmcache,4,20,tpcc,64
12,29336,11.8281,38.1094,vmcache,4,20,tpcc,64
13,17374,6.84375,20.9609,vmcache,4,20,tpcc,64
14,16416,6.70312,22.0469,vmcache,4,20,tpcc,64
15,16130,6.38281,20.4883,vmcache,4,20,tpcc,64
16,13520,6.02734,17.9102,vmcache,4,20,tpcc,64
17,13601,6.11719,18.418,vmcache,4,20,tpcc,64
18,15174,6.10938,19.1367,vmcache,4,20,tpcc,64
19,17551,6.99609,23.793,vmcache,4,20,tpcc,64
20,30850,10.0156,36.9883,vmcache,4,20,tpcc,64
21,31933,8.66406,37.332,vmcache,4,20,tpcc,64
22,30333,7.53516,34.3672,vmcache,4,20,tpcc,64
23,26153,8.14453,31.5938,vmcache,4,20,tpcc,64
24,28850,10.1367,35.5078,vmcache,4,20,tpcc,64
25,27348,10.2148,34.4141,vmcache,4,20,tpcc,64
26,29642,12.3828,40.2227,vmcache,4,20,tpcc,64
27,30796,12.1328,38.1914,vmcache,4,20,tpcc,64
28,27643,11.2188,37.4219,vmcache,4,20,tpcc,64
29,23744,9.01172,29.0273,vmcache,4,20,tpcc,64
space: 4.4271 GB 
