vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 5.59481 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,3990,108.816,111.848,vmcache,4,30,tpcc,64
1,7702,73.6992,80.0352,vmcache,4,30,tpcc,64
2,9966,64.4062,73.3047,vmcache,4,30,tpcc,64
3,10852,61.1406,71.6289,vmcache,4,30,tpcc,64
4,16306,74.7812,88.2266,vmcache,4,30,tpcc,64
5,16632,73.1797,86.9414,vmcache,4,30,tpcc,64
6,18959,73.0391,89.2148,vmcache,4,30,tpcc,64
7,20384,71.8633,90.7852,vmcache,4,30,tpcc,64
8,19488,64.0938,81.9062,vmcache,4,30,tpcc,64
9,19784,63.2891,81.1719,vmcache,4,30,tpcc,64
10,19948,59.3828,77.9023,vmcache,4,30,tpcc,64
11,20768,60.0273,76.957,vmcache,4,30,tpcc,64
12,18690,51.3828,68.0156,vmcache,4,30,tpcc,64
13,18940,49.6523,66.9062,vmcache,4,30,tpcc,64
14,13034,34.6562,46.6133,vmcache,4,30,tpcc,64
15,14126,37.5781,50.8242,vmcache,4,30,tpcc,64
16,13785,35.6992,45.0508,vmcache,4,30,tpcc,64
17,17403,47.9258,62.7656,vmcache,4,30,tpcc,64
18,20281,56.9219,75.2422,vmcache,4,30,tpcc,64
19,19391,55.332,72.6523,vmcache,4,30,tpcc,64
20,19264,53.1367,70.9336,vmcache,4,30,tpcc,64
21,21453,58.1836,77.168,vmcache,4,30,tpcc,64
22,20238,51.9492,70.6992,vmcache,4,30,tpcc,64
23,20171,52.7734,70.625,vmcache,4,30,tpcc,64
24,22986,59.707,80,vmcache,4,30,tpcc,64
25,22414,59.8594,79.3672,vmcache,4,30,tpcc,64
26,2333,4.79688,7.34766,vmcache,4,30,tpcc,64
27,13168,35.1758,46.9258,vmcache,4,30,tpcc,64
28,12551,29.8359,41.3516,vmcache,4,30,tpcc,64
29,13590,34.4453,45.6836,vmcache,4,30,tpcc,64
space: 6.01835 GB 
