vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 9.20869 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,437,38.0508,38.6953,vmcache,4,50,tpcc,64
1,413,30.0859,30.7734,vmcache,4,50,tpcc,64
2,590,33.4453,32.6172,vmcache,4,50,tpcc,64
3,906,36.1875,37.2383,vmcache,4,50,tpcc,64
4,946,32.6055,32.9961,vmcache,4,50,tpcc,64
5,837,27.9531,28.9102,vmcache,4,50,tpcc,64
6,1125,31.5039,32.4258,vmcache,4,50,tpcc,64
7,1071,26.7422,27.875,vmcache,4,50,tpcc,64
8,1159,26.793,27.2344,vmcache,4,50,tpcc,64
9,1286,25.2695,26.1875,vmcache,4,50,tpcc,64
10,1435,27.2188,30.0195,vmcache,4,50,tpcc,64
11,1688,29.7852,30.0273,vmcache,4,50,tpcc,64
12,2123,31.2031,32.5039,vmcache,4,50,tpcc,64
13,1536,21.6719,23.5625,vmcache,4,50,tpcc,64
14,1731,23.4609,24.2969,vmcache,4,50,tpcc,64
15,1795,23.0117,24.2344,vmcache,4,50,tpcc,64
16,1940,23.7031,26.3672,vmcache,4,50,tpcc,64
17,1974,22.3828,24.3867,vmcache,4,50,tpcc,64
18,2043,23.8633,24.543,vmcache,4,50,tpcc,64
19,2221,23.9414,26.1367,vmcache,4,50,tpcc,64
20,1996,21.9141,22.9336,vmcache,4,50,tpcc,64
21,2176,23.4219,24.793,vmcache,4,50,tpcc,64
22,2435,24.1953,26.7539,vmcache,4,50,tpcc,64
23,2447,23.8867,26.0859,vmcache,4,50,tpcc,64
24,2368,24.2656,27.0898,vmcache,4,50,tpcc,64
25,2417,23.7578,25.9922,vmcache,4,50,tpcc,64
26,2594,24.2031,26.2891,vmcache,4,50,tpcc,64
27,2747,25.375,27.1719,vmcache,4,50,tpcc,64
28,2375,22.8633,25.1328,vmcache,4,50,tpcc,64
29,2635,23.5156,25.3359,vmcache,4,50,tpcc,64
space: 9.24969 GB 
