vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 13.7263 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,114,12.4297,12.6172,vmcache,4,75,tpcc,64
1,73,9.9375,10.3516,vmcache,4,75,tpcc,64
2,142,15.1523,14.5898,vmcache,4,75,tpcc,64
3,146,14.082,14.5234,vmcache,4,75,tpcc,64
4,124,10.8164,10.5977,vmcache,4,75,tpcc,64
5,145,12.0195,12.1016,vmcache,4,75,tpcc,64
6,108,12,12.0625,vmcache,4,75,tpcc,64
7,134,12.8359,12.8398,vmcache,4,75,tpcc,64
8,222,14.7734,15.6172,vmcache,4,75,tpcc,64
9,174,11.8672,11.8594,vmcache,4,75,tpcc,64
10,237,15.375,14.4609,vmcache,4,75,tpcc,64
11,241,17.7773,18.1602,vmcache,4,75,tpcc,64
12,253,11.2461,11.6289,vmcache,4,75,tpcc,64
13,195,11.8047,12.6953,vmcache,4,75,tpcc,64
14,258,14.2539,13.8867,vmcache,4,75,tpcc,64
15,404,17.3164,17.7578,vmcache,4,75,tpcc,64
16,176,10.2891,9.57422,vmcache,4,75,tpcc,64
17,306,15.1719,15.7305,vmcache,4,75,tpcc,64
18,287,13.3594,13.7461,vmcache,4,75,tpcc,64
19,393,12.7148,12.4453,vmcache,4,75,tpcc,64
20,291,14.125,14.4688,vmcache,4,75,tpcc,64
21,344,13.6328,13.7422,vmcache,4,75,tpcc,64
22,320,12.6836,12.7344,vmcache,4,75,tpcc,64
23,416,13.7461,14.0703,vmcache,4,75,tpcc,64
24,257,10.4766,11.875,vmcache,4,75,tpcc,64
25,457,15.082,14.5312,vmcache,4,75,tpcc,64
26,414,13.9297,14.6211,vmcache,4,75,tpcc,64
27,455,13.0898,13.5898,vmcache,4,75,tpcc,64
28,444,12.9688,13.0898,vmcache,4,75,tpcc,64
29,468,17.1953,17.3906,vmcache,4,75,tpcc,64
space: 13.7308 GB 
