vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 1.0769 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,47567,0,0,vmcache,4,5,tpcc,64
1,45797,0,0,vmcache,4,5,tpcc,64
2,44751,0,0,vmcache,4,5,tpcc,64
3,24307,0,0,vmcache,4,5,tpcc,64
4,21792,0,0,vmcache,4,5,tpcc,64
5,22132,0,0,vmcache,4,5,tpcc,64
6,27435,0,0,vmcache,4,5,tpcc,64
7,45203,0,0,vmcache,4,5,tpcc,64
8,40175,0,0,vmcache,4,5,tpcc,64
9,48005,0,0,vmcache,4,5,tpcc,64
10,38589,0,0,vmcache,4,5,tpcc,64
11,45695,0,0,vmcache,4,5,tpcc,64
12,50112,0,0,vmcache,4,5,tpcc,64
13,46437,0,0,vmcache,4,5,tpcc,64
14,35321,0,0,vmcache,4,5,tpcc,64
15,38515,0,0,vmcache,4,5,tpcc,64
16,36137,0,0,vmcache,4,5,tpcc,64
17,25970,0,0,vmcache,4,5,tpcc,64
18,19900,0,0,vmcache,4,5,tpcc,64
19,28523,0,0,vmcache,4,5,tpcc,64
20,41134,0,0,vmcache,4,5,tpcc,64
21,48412,0,0,vmcache,4,5,tpcc,64
22,48814,0,0,vmcache,4,5,tpcc,64
23,48896,0,0,vmcache,4,5,tpcc,64
24,48884,0,0,vmcache,4,5,tpcc,64
25,49670,0,0,vmcache,4,5,tpcc,64
26,38671,0,0,vmcache,4,5,tpcc,64
27,38595,0,0,vmcache,4,5,tpcc,64
28,38160,0,0,vmcache,4,5,tpcc,64
29,37075,0,0,vmcache,4,5,tpcc,64
space: 2.14462 GB 
