vmcache blk:/dev/loop0 virtgb:16 physgb:4 exmap:0
space: 12.8228 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,118,12.7617,12.9062,vmcache,4,70,tpcc,64
1,153,14.5977,15.0625,vmcache,4,70,tpcc,64
2,163,15.6289,15.7812,vmcache,4,70,tpcc,64
3,107,14.0234,14.2461,vmcache,4,70,tpcc,64
4,247,17.3906,17.2188,vmcache,4,70,tpcc,64
5,153,13.3672,13.3711,vmcache,4,70,tpcc,64
6,199,15.5742,14.8242,vmcache,4,70,tpcc,64
7,295,18.7461,19.8984,vmcache,4,70,tpcc,64
8,270,18.1953,17.9297,vmcache,4,70,tpcc,64
9,265,15.3281,14.8203,vmcache,4,70,tpcc,64
10,346,16.1914,17.2695,vmcache,4,70,tpcc,64
11,489,19.0859,18.5195,vmcache,4,70,tpcc,64
12,208,10.7734,11.3984,vmcache,4,70,tpcc,64
13,231,13.5273,14.3438,vmcache,4,70,tpcc,64
14,401,18.1328,16.9375,vmcache,4,70,tpcc,64
15,411,13.3164,14.3047,vmcache,4,70,tpcc,64
16,458,15.8516,16.1875,vmcache,4,70,tpcc,64
17,404,17.0898,17.0781,vmcache,4,70,tpcc,64
18,473,15.1406,16.5898,vmcache,4,70,tpcc,64
19,480,17.6211,16.3828,vmcache,4,70,tpcc,64
20,376,14.0273,14.8477,vmcache,4,70,tpcc,64
21,448,16.7969,17.2656,vmcache,4,70,tpcc,64
22,518,13.6055,13.6953,vmcache,4,70,tpcc,64
23,542,17.5859,17.8047,vmcache,4,70,tpcc,64
24,275,10.332,11.9023,vmcache,4,70,tpcc,64
25,345,11.7383,10.6523,vmcache,4,70,tpcc,64
26,623,15.0352,17.2266,vmcache,4,70,tpcc,64
27,520,13.8789,13.1406,vmcache,4,70,tpcc,64
28,654,16.3125,17.3477,vmcache,4,70,tpcc,64
29,559,15.1523,16.3047,vmcache,4,70,tpcc,64
space: 12.8297 GB 
